gauge_id,p_mean,pet_mean,p_seasonality,frac_snow,aridity,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,q_mean,runoff_ratio,slope_fdc,baseflow_index,stream_elas,q5,q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,hfd_mean,geol_porostiy,geol_permeability,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,sand_frac,silt_frac,clay_frac,elev_mean,slope_mean,area_gages2,frac_forest,gvf_max,gvf_diff
1013500,3.126678987,1.971554511,0.187940259,0.313440357,0.630558659,12.95,1.348958333,202.2,3.427118644,1.699154508,0.543437467,1.528218535,0.585225956,1.845324162,0.241106126,6.373021397,6.1,8.714285714,41.35,20.17073171,207.25,0.1714,-14.7019,7.404761905,1.248407925,0.461148751,1.106522476,27.84182729,55.15694003,16.27573172,250.31,21.64152,2252.7,0.9063,0.80456742,0.371648163
1022500,3.608125941,2.119255948,-0.114529586,0.245259009,0.587356423,20.55,1.205278592,233.65,3.662225705,2.173062148,0.602268929,1.776279804,0.554478448,1.702782371,0.204734355,7.123049444,3.9,2.294117647,65.15,17.14473684,166.25,0.071,-14.2138,17.41280788,1.491845516,0.415905486,2.375005063,59.39015616,28.0809367,12.03764581,92.68,17.79072,573.6,0.9232,0.863935769,0.337712462
1030500,3.274405202,2.043593566,0.047358189,0.277018403,0.624111385,17.15,1.207746479,215.6,3.514262429,1.820107544,0.555858983,1.871110406,0.508440713,1.377505203,0.107149197,6.854886504,12.25,7.205882353,89.25,19.40217391,184.9,0.1178,-14.4918,19.01141439,1.461363195,0.459090984,1.289807346,32.23545843,51.77918225,14.77682378,143.8,12.79195,3676.17,0.8782,0.858502041,0.35139339
1031500,3.522956879,2.071323696,0.104090599,0.291836473,0.58795034,18.9,1.14893617,227.35,3.473644003,2.03024228,0.576289279,1.494019203,0.445090526,1.648692987,0.111345353,8.010502859,18.9,3.286956522,94.8,14.69767442,181,0.0747,-14.841,7.252557042,1.279046875,0.45023595,1.37329168,35.26903044,50.84123173,12.65412532,247.8,29.56035,769.05,0.9548,0.870668492,0.398619402
1047000,3.323145791,2.090023874,0.147775614,0.280118127,0.628929336,20.1,1.165217391,235.9,3.69170579,2.182869575,0.656868435,1.415938711,0.473464931,1.510237549,0.196458052,8.095148214,14.95,2.577586207,71.55,12.77678571,184.8,0.0522,-14.4819,5.359654944,1.392778549,0.422748959,2.615154283,55.16313347,34.18544336,10.3036221,310.38,49.92122,909.1,0.9906,0.891382765,0.445473208
1052500,3.730858316,2.096423231,0.152096803,0.352698254,0.561914459,13.5,1.129707113,193.5,2.896706587,2.405104604,0.64465182,1.301062425,0.459699942,1.025555476,0.305965364,8.66901866,14.1,2.517857143,58.9,7.316770186,197.2,0.0711,-15.1658,1.301349325,1.494807434,0.452325651,1.262995374,30.55766622,52.61464602,11.14332601,615.7,60.05183,383.82,1,0.880034058,0.47732793
1054200,4.067132101,2.128355058,0.104959635,0.29964154,0.523306105,17.5,1.194539249,220.3,3.263703704,2.731741571,0.671662858,1.319645154,0.437049818,1.35780829,0.256851229,10.09560514,16.05,1.888235294,82.2,9.963636364,183.45,0.0288,-14.2147,0.914754098,1.477442198,0.418460873,2.919142483,58.37616918,31.836472,9.851261621,472.31,90.13951,180.98,1,0.886711471,0.455084305
1055000,3.494183436,2.093235291,0.167229041,0.306048852,0.599062794,19.15,1.167682927,224.85,3.37866266,2.279897481,0.652483627,1.349311834,0.438131658,1.366587125,0.185464951,8.441583673,16.25,2.056962025,83.6,8.941176471,186.05,0.1455,-14.3578,2.127058824,1.369656583,0.424025868,2.550001259,53.86201109,34.73449208,10.34632347,423.12,72.81304,250.64,0.9916,0.886163454,0.471431452
1057000,3.570499658,2.132743778,0.079136849,0.251157673,0.597323619,20.35,1.16954023,239.3,3.747846515,1.823550607,0.510727008,1.533232234,0.474677471,1.28068088,0.078169447,6.866096676,13.85,2.429824561,82.95,13.825,178.05,0.0251,-13.9903,3.759146341,1.500000015,0.404117933,4.030392332,69.00673809,22.94329238,7.817564975,215.59,32.68445,190.92,0.9415,0.905510481,0.458742009
1073000,3.503025325,2.207615715,0.030370013,0.175032435,0.630202614,20.85,1.226470588,249,4.016129032,1.703194042,0.486206603,1.780107351,0.501891679,2.278788743,0.065815227,5.784236114,7.85,2.211267606,96,12.46753247,168.75,0.01,-14.1,19.90909091,1.305619617,0.41639654,2.948670506,56.57096131,29.15505626,9.967266116,37.67,4.75043,31.3,0.9008,0.841420652,0.379144183
1078000,3.562888433,2.184144572,0.110482097,0.239718522,0.613026373,21.45,1.172131148,234.5,3.616037008,1.755803457,0.492803379,1.499491296,0.491188699,1.526653663,0.145171254,6.616289887,12.05,3.050632911,69.55,12.41964286,180.7,0.011,-14.1061,3.639784946,1.500000015,0.40389262,4.025400765,69.15740644,22.80627789,7.848279334,346.92,49.77182,222.46,0.9873,0.898650643,0.424911376
1118300,3.897430527,2.310036975,-0.037743187,0.111232483,0.592707672,21.5,1.295180723,244.6,4,2.12957507,0.546404883,2.217869133,0.559172033,0.382857209,0.059038985,6.612366339,3.5,1.37254902,89.5,11.77631579,155.4,0.01,-14.1,12.92,1.500000015,0.414290146,3.271004515,60.60784181,28.75044697,9.27338817,36.7,8.76539,10.36,0.933,0.911301526,0.469205885
1121000,3.719590691,2.301408433,0.004098324,0.154227151,0.618726259,21.5,1.197771588,241.7,3.721324095,1.958340612,0.526493578,1.940048702,0.536306404,1.16604444,0.080101406,6.025018781,5.9,1.475,85,9.88372093,156.35,0.01,-14.1,8.962264151,1.500000015,0.41727023,3.068217977,55.81394753,29.27511309,9.166663022,141.54,16.99385,70.25,0.9652,0.908561005,0.497627232
